x,y,cell_id,postcode,county,town,suburb,road,box_1,box_2,box_3,box_4
-2.1307098,53.6130289,-6.718338448236618e+17,OL16 4AA,Greater Manchester,Milnrow,Firgrove,Moss Avenue,53.6128959,53.6131711,-2.1317687,-2.1299888
-2.1865887,53.6021688,-3.2268929729230464e+17,OL11 3LL,Greater Manchester,Rochdale,Marland,Troutbeck Way,53.6018566,53.6019047,-2.1875321,-2.1862448
-2.1563858,53.6076051,4.7268834884535e+18,OL11 1QW,Greater Manchester,Rochdale,Sudden,Ashfield Road,53.6069501,53.6070501,-2.1571411,-2.1570411
-2.104949,53.5869883,3.093254853105893e+18,OL2 7PX,Greater Manchester,Shaw,High Crompton,Great Meadow,53.5863523,53.5870033,-2.110254,-2.1043551
-2.1533664,53.6085078,-3.903893185835379e+17,OL11 1JN,Greater Manchester,Rochdale,Deeplish,Exeter Street,53.6085296,53.6088932,-2.1549787,-2.1528566
-2.1502862,53.5923328,5.106786856152764e+18,OL11 2DR,Greater Manchester,Milnrow,Unknown,Ludgate Road,53.5920112,53.5941417,-2.1512654,-2.1496595
-2.1457662,53.5959338,1.6650476397892585e+18,OL11 2EL,Greater Manchester,Milnrow,Buersil,Canberra Way,53.5952486,53.5960087,-2.1452691,-2.1449882
-2.1231521,53.6130369,-8.532651495934339e+18,OL16 4BQ,Greater Manchester,Milnrow,Firgrove,Willows Lane,53.6130562,53.6147284,-2.1235441,-2.1203388
-2.0988939,53.5816005,6.312749733247268e+18,OL2 7SS,Greater Manchester,Shaw,Wood End,Salts Street,53.5809593,53.5816348,-2.1006116,-2.0913069
-2.1744922,53.6003894,-4.291863521429984e+18,OL11 3EP,Greater Manchester,Rochdale,Sudden,Ashley Close,53.6005048,53.6012555,-2.1773209,-2.1746172
-2.1534415,53.6291806,-5.173566604764148e+18,OL12 0BS,Greater Manchester,Rochdale,Syke,Joy Street,53.6287348,53.6315954,-2.1585763,-2.1529814
-2.1442952,53.6076203,1.1203537714499264e+18,OL16 5LJ,Greater Manchester,Milnrow,Lower Place,Elder Street,53.6064485,53.6077359,-2.1442902,-2.1435695
-2.1428233,53.6193068,-4.895585120794521e+18,OL16 2JU,Greater Manchester,Milnrow,Wardleworth,Kellett Street,53.6186124,53.6195217,-2.143438,-2.1428613
-2.138238,53.6040321,-7.239540600190476e+18,OL16 4XQ,Greater Manchester,Milnrow,Lower Place,Turf Hill Road,53.6041327,53.6042327,-2.138527,-2.138427
